ref_beg_time;ref_end_time;ref_peak_time;dst_beg_time;dst_end_time;dst_peak_time;ref_remarks;dst_remarks;flip_lr;flip_ud
1995-01-22;1995-02-21;1995-01-24;2013-05-25;2013-06-19;2013-06-03;44-S1;01-R2;False;False
1995-04-10;1995-04-24;1995-04-18;2013-01-04;2013-01-16;2013-01-07;14-R3;06-R3;False;False
1995-05-13;1995-05-20;1995-05-14;2002-12-29;2003-01-09;2003-01-03;26-R1;17-R2;False;False
1995-05-30;1995-06-21;1995-06-03;2002-11-18;2002-11-28;2002-11-20;32-R2;28-R2;False;False
1995-08-31;1995-09-11;1995-09-02;2002-08-12;2002-08-18;2002-08-13;05-R1;01-R1;False;False
1995-12-22;1995-12-31;1995-12-24;1995-12-22;1995-12-31;1995-12-24;37-S1;37-S1;False;False
2002-08-12;2002-08-18;2002-08-13;1995-08-31;1995-09-11;1995-09-02;01-R1;05-R1;False;False
2002-11-18;2002-11-28;2002-11-20;1995-05-30;1995-06-21;1995-06-03;28-R2;32-R2;False;False
2002-12-29;2003-01-09;2003-01-03;1995-05-13;1995-05-20;1995-05-14;17-R2;26-R1;False;False
2013-01-04;2013-01-16;2013-01-07;1995-04-10;1995-04-24;1995-04-18;06-R3;14-R3;False;False
2013-05-25;2013-06-19;2013-06-03;1995-01-22;1995-02-21;1995-01-24;01-R2;44-S1;False;False
